seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
7001561,5495500,7,IL,905.5557,40.142824,-91.33737,BEAR CREEK NEAR MARCELLINE IL
7001566,5495000,7,MO,1027.552,40.392408,-91.597875,Fox River at Wayland MO
7001811,5466500,7,IL,1151.567,41.186977,-90.967366,EDWARDS RIVER NEAR NEW BOSTON IL
7002023,5444000,7,IL,376.3512,41.902807,-89.696223,ELKHORN CREEK NEAR PENROSE IL
7002063,5454000,7,IA,65.3814,41.700017,-91.487668,Rapid Creek near Iowa City IA
7002120,5362000,7,WI,1477.292,45.308026,-90.956525,JUMP RIVER AT SHELDON WI
7002501,5412500,7,IA,3858.214,42.739988,-91.261799,Turkey River at Garber IA
7002518,5414000,7,WI,370.7901,42.731104,-90.640405,PLATTE RIVER NEAR ROCKVILLE WI
7002519,5413500,7,WI,695.3256,42.720271,-90.819294,GRANT RIVER AT BURTON WI
7002707,5393500,7,WI,220.4352,45.449132,-89.979311,SPIRIT RIVER AT SPIRIT FALLS WI
7002849,5525500,7,IL,1158.759,40.630036,-87.723918,SUGAR CREEK AT MILFORD IL
7003132,5408000,7,WI,689.3334,43.57414,-90.643186,KICKAPOO RIVER AT LA FARGE WI
7003352,5584500,7,IL,1695.671,40.330322,-90.896245,LA MOINE RIVER AT COLMAR IL
7003365,5585000,7,IL,3354.608,40.02477,-90.631795,LA MOINE RIVER AT RIPLEY IL
7003625,5399500,7,WI,576.3033,44.82191,-90.079575,BIG EAU PLEINE RIVER AT STRATFORD WI
7003883,5556500,7,IL,505.0946,41.36587,-89.498427,BIG BUREAU CREEK AT PRINCETON IL
8000548,8014500,8,LA,1305.147,30.69875,-92.893194,Whiskey Chitto Creek Near Oberlin LA
8000564,8013000,8,LA,1293.693,30.996023,-92.673755,CALCASIEU RIVER NR GLENMORA LA
8001213,7375000,8,LA,249.3477,30.616022,-90.248695,Tchefuncta River near Folsom LA
8001259,7377000,8,LA,1525.312,30.889069,-90.844545,Amite River near Darlington LA
8001307,7295000,8,MS,466.5798,31.226944,-91.295556,BUFFALO RIVER NR WOODVILLE MS
8001329,7292500,8,MS,2073.093,31.324722,-91.109444,HOMOCHITTO RIVER AT ROSETTA MS
8001331,7291000,8,MS,479.2959,31.503056,-90.7775,HOMOCHITTO RIVER AT EDDICETON MS
8001612,7373000,8,LA,131.1775,31.536287,-92.408471,Big Creek at Pollock LA
8001736,7376500,8,LA,205.1919,30.504358,-90.545924,Natalbany River at Baptist LA
8001737,7376000,8,LA,651.6053,30.503802,-90.677316,Tickfaw River at Holden LA
9000244,5087500,9,MN,600.8184,48.341089,-96.818117,MIDDLE RIVER AT ARGYLE MN
9000450,5131500,9,MN,4383.507,48.395776,-93.549327,LITTLE FORK RIVER AT LITTLEFORK MN
9000464,5130500,9,MN,463.95,47.673538,-92.900182,STURGEON RIVER NEAR CHISHOLM MN
9000593,5120500,9,ND,1509.827,48.138337,-100.539862,WINTERING RIVER NR KARLSRUHE ND
9000647,5056000,9,ND,4862.024,47.805553,-98.716217,SHEYENNE RIVER NR WARWICK ND
9000661,5057000,9,ND,7582.457,47.432771,-98.027595,SHEYENNE RIVER NR COOPERSTOWN ND
10000184,6885500,10L,KS,1062.869,39.681924,-96.442894,BLACK VERMILLION R NR FRANKFORT KS
10000626,6889500,10L,KS,748.5822,39.09938,-95.724952,SOLDIER C NR TOPEKA KS
10000696,6892000,10L,KS,1092.723,39.116327,-95.010881,STRANGER C NR TONGANOXIE KS
10001828,6917000,10L,KS,765.7839,38.018968,-94.713668,L OSAGE R AT FULTON KS
10001855,6919500,10L,MO,1069.424,37.834203,-93.875492,Cedar Creek near Pleasant View MO
10002082,6846500,10L,KS,4357.758,39.985006,-100.560148,BEAVER C AT CEDAR BLUFFS KS
10002309,6464500,10L,SD,2914.043,43.028893,-99.780671,KEYA PAHA R AT WEWELA SD
10002854,6601000,10L,NE,450.1989,42.321581,-96.487683,OMAHA CR AT HOMER NE
10003109,6784000,10L,NE,6019.745,41.032444,-98.740533,SOUTH LOUP R AT ST. MICHAEL NE
10003155,6775500,10L,NE,5459.764,41.831244,-100.100778,MIDDLE LOUP RIVER AT DUNNING NE
10004102,6814000,10L,KS,713.826,39.947777,-96.108615,TURKEY C NR SENECA KS
10100634,6191500,10U,MT,6783.593,45.11188,-110.794381,Yellowstone River at Corwin Springs MT
10100732,6311000,10U,WY,61.2315,44.027742,-107.080895,NORTH FORK POWDER RIVER NEAR HAZELTON WY
10101039,6431500,10U,SD,427.1049,44.482484,-103.861592,SPEARFISH CR AT SPEARFISH SD
10101805,6452000,10U,SD,25791.04,43.748327,-99.556495,WHITE R NEAR OACOMA SD
10103076,6289000,10U,MT,471.2687,45.00691,-107.615095,Little Bighorn River at State Line nr Wyola MT
10103669,6406000,10U,SD,436.3389,43.828046,-103.196021,BATTLE CR AT HERMOSA SD
10104168,6447000,10U,SD,12849.71,43.752495,-101.524867,WHITE R NEAR KADOKA SD
10104315,6441500,10U,SD,8152.545,44.326649,-100.3843,BAD R NEAR FORT PIERRE SD
10104495,6354000,10U,ND,10598.19,46.376111,-100.934444,CANNONBALL RIVER AT BREIEN ND
10104526,6350000,10U,ND,1501.049,46.426671,-102.55183,CANNONBALL RIVER AT REGENT ND
10104655,6339500,10U,ND,3171.457,47.154453,-102.059892,KNIFE RIVER NR GOLDEN VALLEY ND
10104720,6409000,10U,SD,205.3285,44.013592,-103.830478,CASTLE CR ABOVE DEERFIELD RES NEAR HILL CITY SD
10104807,6450500,10U,SD,4111.272,43.601385,-100.749861,LITTLE WHITE R BELOW WHITE RIVER SD
10105065,6352000,10U,ND,1441.832,46.15417,-102.474047,CEDAR CREEK NR HAYNES ND
11000155,7197000,11,OK,808.4485,35.9212,-94.838563,Baron Fork at Eldon OK
11000682,7083000,11,CO,60.76139,39.172213,-106.389193,HALFMOON CREEK NEAR MALTA CO
11001074,7249985,11,OK,1124.807,35.51731,-94.464382,Lee Creek near Short OK
11001407,7066000,11,MO,1053.496,37.154081,-91.358161,Jacks Fork at Eminence MO
11001431,7068000,11,MO,5318.585,36.622003,-90.847623,Current River at Doniphan MO
11001437,7067000,11,MO,4349.011,36.991378,-91.013511,Current River at Van Buren MO
11001510,7071500,11,MO,2023.769,36.648681,-91.200819,Eleven Point River near Bardley MO
11001746,7057500,11,MO,1456.436,36.623033,-92.248125,North Fork River near Tecumseh MO
11001842,7252000,11,AR,968.9895,35.577307,-94.015757,MULBERRY RIVER NEAR MULBERRY AR
11001870,7257006,11,AR,793.8243,35.505778,-93.181444,Big Piney Creek at Highway 164 near Dover AR
11002304,7056000,11,AR,2149.364,35.983175,-92.747553,Buffalo River near St. Joe AR
11002524,7301500,11,OK,6885.075,35.168108,-99.507313,North Fork Red River near Carter OK
11002948,7226500,11,NM,5242.753,35.438382,-103.525794,UTE CREEK NEAR LOGAN NM
11003038,7208500,11,NM,159.2235,36.372258,-104.970003,RAYADO CREEK NEAR CIMARRON NM
11003215,7180500,11,KS,275.5053,38.196451,-96.824579,CEDAR C NR CEDAR POINT KS
11003925,7167500,11,KS,319.6179,37.70821,-96.223602,OTTER C AT CLIMAX KS
12000237,8041500,12,TX,2228.481,30.397986,-94.263521,Village Ck nr Kountze TX
12000983,8070000,12,TX,841.0554,30.336598,-95.1041,E Fk San Jacinto Rv nr Cleveland TX
12001357,8101000,12,TX,1177.1,31.28489,-97.885024,Cowhouse Ck at Pidcoke TX
12001763,8189500,12,TX,1808.286,28.291951,-97.279159,Mission Rv at Refugio TX
12003156,8164000,12,TX,2123.997,28.959984,-96.686367,Lavaca Rv nr Edna TX
12003230,8190000,12,TX,1961.433,29.428567,-99.997287,Nueces Rv at Laguna TX
12003290,8029500,12,TX,333.3996,30.818889,-93.785556,Big Cow Ck nr Newton TX
12003544,8196000,12,TX,326.9781,29.504676,-99.781445,Dry Frio Rv nr Reagan Wells TX
12003548,8198000,12,TX,550.5978,29.491064,-99.492824,Sabinal Rv nr Sabinal TX
12003549,8195000,12,TX,1028.286,29.488565,-99.704776,Frio Rv at Concan TX
12003559,8198500,12,TX,624.347,29.314306,-99.480472,Sabinal Rv at Sabinal TX
12003595,8200000,12,TX,249.1146,29.569673,-99.246706,Hondo Ck nr Tarpley TX
13000425,8324000,13,NM,1207.948,35.661694,-106.743369,JEMEZ RIVER NEAR JEMEZ NM
13000542,8267500,13,NM,96.2577,36.541693,-105.556398,RIO HONDO NEAR VALDEZ NM
13000819,8378500,13,NM,444.9591,35.708366,-105.682517,PECOS RIVER NEAR PECOS NM
13000820,8380500,13,NM,198.0621,35.651986,-105.3189,GALLINAS CREEK NEAR MONTEZUMA NM
13000940,8400000,13,NM,893.133,32.672337,-104.369127,FOURMILE DRAW NR LAKEWOOD NM
14000671,9223000,14,WY,333.153,42.110494,-110.709621,"HAMS FORK BELOW POLE CREEK, NEAR FRONTIER WY"
14001858,9210500,14,WY,398.3094,42.096053,-110.416556,"FONTENELLE C NR HERSCHLER RANCH, NR FONTENELLE WY"
15000031,9430500,15,NM,4804.927,33.061179,-108.537275,GILA RIVER NEAR GILA NM
15000315,9480000,15,AZ,213.381,31.355378,-110.589526,SANTA CRUZ RIVER NEAR LOCHIEL AZ
